['103', '371', '220', '19', '20', '101', '204', '300', '475', '440', '80', '377', '74', '13', '429', '154', '185', '163', '59', '344', '36', '157']
['257', '431', '199', '374', '225', '310', '78', '184', '63', '482', '448', '272', '72', '197', '293', '392', '268', '430', '205', '346', '331', '33']
['177', '208', '81', '210', '231', '360', '95', '238', '411', '333', '145', '51', '162', '240', '89', '187', '14', '84', '375', '73', '464', '262']
['2', '450', '188', '259', '24', '274', '129', '422', '212', '192', '364', '358', '28', '361', '340', '315', '265', '99', '472', '476', '354', '108']
['483', '437', '463', '373', '190', '221', '479', '253', '299', '334', '124', '356', '399', '150', '64', '100', '427', '176', '77', '365', '88', '455']
['386', '417', '477', '214', '260', '311', '283', '445', '52', '164', '29', '319', '91', '387', '181', '134', '394', '326', '68', '93', '269', '147']
['370', '398', '61', '303', '169', '381', '425', '292', '110', '314', '121', '0', '98', '248', '418', '382', '250', '403', '217', '57', '267', '378']
['92', '390', '41', '405', '114', '226', '230', '419', '461', '179', '106', '242', '233', '127', '380', '66', '173', '470', '40', '402', '245', '5']
['297', '37', '481', '379', '400', '473', '54', '69', '165', '130', '318', '353', '158', '467', '178', '85', '345', '128', '21', '289', '291', '137']
['452', '420', '223', '227', '443', '229', '82', '183', '143', '341', '131', '332', '474', '336', '252', '256', '301', '325', '44', '447', '11', '191']
['459', '249', '117', '446', '308', '193', '309', '195', '391', '97', '471', '119', '456', '369', '458', '65', '79', '323', '136', '273', '307', '438']
['201', '62', '132', '366', '151', '35', '109', '83', '107', '118', '264', '196', '12', '351', '302', '219', '342', '350', '189', '171', '75', '102']
['45', '216', '282', '335', '359', '211', '306', '25', '244', '116', '322', '138', '55', '243', '296', '397', '38', '401', '462', '347', '433', '50']
['469', '428', '200', '247', '94', '111', '149', '146', '413', '363', '10', '166', '235', '338', '263', '135', '337', '206', '408', '30', '160', '327']
['404', '349', '71', '389', '466', '213', '76', '222', '236', '115', '125', '16', '126', '9', '286', '246', '175', '266', '316', '348', '123', '372']
['144', '423', '258', '182', '409', '480', '6', '383', '32', '410', '395', '355', '320', '280', '313', '122', '328', '451', '407', '288', '465', '161']
['295', '224', '239', '275', '86', '1', '298', '406', '304', '343', '436', '7', '393', '276', '460', '46', '453', '34', '140', '478', '254', '277']
['294', '388', '3', '198', '414', '159', '457', '70', '367', '168', '170', '416', '228', '396', '412', '141', '339', '53', '279', '384', '56', '385']
['43', '48', '203', '317', '357', '155', '368', '174', '426', '133', '105', '180', '278', '22', '90', '442', '376', '152', '153', '444', '281', '468']
['287', '49', '139', '209', '202', '237', '23', '218', '432', '261', '8', '439', '4', '441', '234', '434', '255', '324', '352', '207', '96', '312']
['42', '194', '449', '26', '156', '454', '172', '167', '424', '60', '305', '329', '251', '270', '17', '232', '87', '18', '120', '148', '415', '362']
['241', '285', '421', '321', '271', '290', '15', '67', '215', '47', '113', '58', '284', '435', '27', '104', '31', '330', '186', '142', '112', '39']
